Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Communication skills,Data Science,Troubleshooting skills,Graphics Designing,Role
Poor,Average,Professional,Not Interested,Not Interested,Excellent,Excellent,Beginner,Average,Poor,Poor,Professional,Intermediate,Average,Not Interested,Professional,Not Interested,Software Developer
Intermediate,Beginner,Beginner,Professional,Professional,Excellent,Excellent,Average,Average,Beginner,Beginner,Professional,Intermediate,Average,Poor,Professional,Poor,Software Developer
Not Interested,Beginner,Excellent,Beginner,Poor,Excellent,Excellent,Beginner,Not Interested,Average,Excellent,Professional,Poor,Average,Average,Average,Professional,Software Developer
Excellent,Intermediate,Poor,Beginner,Professional,Excellent,Excellent,Beginner,Professional,Poor,Not Interested,Professional,Average,Average,Poor,Average,Poor,Software Developer
Professional,Intermediate,Excellent,Poor,Average,Excellent,Excellent,Excellent,Average,Intermediate,Excellent,Professional,Poor,Average,Poor,Poor,Not Interested,Software Developer
Not Interested,Beginner,Not Interested,Not Interested,Poor,Excellent,Excellent,Beginner,Average,Beginner,Excellent,Professional,Intermediate,Average,Average,Poor,Not Interested,Software Developer
Poor,Intermediate,Poor,Professional,Beginner,Excellent,Excellent,Average,Beginner,Poor,Beginner,Professional,Not Interested,Average,Intermediate,Not Interested,Beginner,Software Developer
Average,Beginner,Average,Average,Average,Excellent,Excellent,Intermediate,Poor,Beginner,Beginner,Professional,Average,Average,Poor,Intermediate,Not Interested,Software Developer
Intermediate,Beginner,Intermediate,Beginner,Beginner,Excellent,Excellent,Professional,Excellent,Average,Professional,Professional,Professional,Average,Intermediate,Beginner,Beginner,Software Developer
Intermediate,Not Interested,Not Interested,Intermediate,Poor,Excellent,Excellent,Intermediate,Intermediate,Professional,Average,Professional,Poor,Average,Average,Not Interested,Professional,Software Developer
Not Interested,Excellent,Beginner,Not Interested,Intermediate,Excellent,Excellent,Average,Excellent,Beginner,Average,Professional,Professional,Average,Beginner,Average,Intermediate,Software Developer
Intermediate,Professional,Beginner,Professional,Average,Excellent,Excellent,Excellent,Poor,Poor,Intermediate,Professional,Intermediate,Average,Intermediate,Average,Professional,Software Developer
Not Interested,Intermediate,Not Interested,Poor,Average,Excellent,Excellent,Not Interested,Average,Beginner,Beginner,Professional,Poor,Average,Intermediate,Excellent,Beginner,Software Developer
Intermediate,Average,Intermediate,Not Interested,Excellent,Excellent,Excellent,Beginner,Poor,Intermediate,Excellent,Professional,Beginner,Average,Poor,Poor,Beginner,Software Developer
Poor,Professional,Average,Beginner,Poor,Excellent,Excellent,Not Interested,Intermediate,Not Interested,Professional,Professional,Intermediate,Average,Not Interested,Intermediate,Poor,Software Developer
Not Interested,Beginner,Poor,Beginner,Intermediate,Excellent,Excellent,Intermediate,Intermediate,Not Interested,Poor,Professional,Beginner,Average,Not Interested,Poor,Intermediate,Software Developer
Average,Not Interested,Professional,Professional,Beginner,Excellent,Excellent,Intermediate,Poor,Professional,Beginner,Professional,Poor,Average,Excellent,Beginner,Beginner,Software Developer
Poor,Intermediate,Beginner,Beginner,Beginner,Excellent,Excellent,Not Interested,Not Interested,Average,Beginner,Professional,Excellent,Average,Beginner,Average,Average,Software Developer
Beginner,Average,Beginner,Not Interested,Average,Excellent,Excellent,Beginner,Not Interested,Average,Beginner,Professional,Poor,Average,Intermediate,Professional,Excellent,Software Developer
Poor,Average,Not Interested,Beginner,Not Interested,Excellent,Excellent,Intermediate,Professional,Poor,Poor,Professional,Intermediate,Average,Beginner,Beginner,Beginner,Software Developer
Beginner,Average,Not Interested,Beginner,Poor,Excellent,Excellent,Professional,Not Interested,Beginner,Intermediate,Professional,Average,Average,Excellent,Excellent,Average,Software Developer
Professional,Professional,Excellent,Professional,Excellent,Excellent,Excellent,Intermediate,Not Interested,Poor,Excellent,Professional,Poor,Average,Average,Professional,Average,Software Developer
Beginner,Average,Intermediate,Poor,Average,Excellent,Excellent,Not Interested,Professional,Poor,Not Interested,Professional,Poor,Average,Beginner,Average,Not Interested,Software Developer
Average,Professional,Professional,Beginner,Average,Excellent,Excellent,Beginner,Professional,Poor,Professional,Professional,Beginner,Average,Beginner,Beginner,Excellent,Software Developer
Beginner,Average,Average,Poor,Beginner,Excellent,Excellent,Professional,Not Interested,Intermediate,Poor,Professional,Not Interested,Average,Beginner,Beginner,Professional,Software Developer
Intermediate,Excellent,Professional,Not Interested,Excellent,Excellent,Excellent,Beginner,Poor,Average,Beginner,Professional,Average,Average,Average,Average,Beginner,Software Developer
Excellent,Beginner,Intermediate,Poor,Not Interested,Excellent,Excellent,Average,Average,Poor,Intermediate,Professional,Poor,Average,Not Interested,Beginner,Poor,Software Developer
Average,Poor,Beginner,Not Interested,Intermediate,Excellent,Excellent,Not Interested,Average,Average,Intermediate,Professional,Professional,Average,Poor,Not Interested,Intermediate,Software Developer
Beginner,Poor,Average,Beginner,Professional,Excellent,Excellent,Professional,Excellent,Intermediate,Beginner,Professional,Beginner,Average,Poor,Beginner,Intermediate,Software Developer
Not Interested,Average,Beginner,Average,Poor,Excellent,Excellent,Average,Poor,Intermediate,Average,Professional,Beginner,Average,Not Interested,Poor,Not Interested,Software Developer
Intermediate,Excellent,Professional,Poor,Not Interested,Excellent,Excellent,Beginner,Intermediate,Not Interested,Average,Professional,Not Interested,Average,Poor,Average,Professional,Software Developer
Professional,Poor,Poor,Poor,Beginner,Excellent,Excellent,Average,Poor,Poor,Poor,Professional,Poor,Average,Average,Not Interested,Not Interested,Software Developer
Average,Average,Intermediate,Intermediate,Beginner,Excellent,Excellent,Beginner,Intermediate,Professional,Not Interested,Professional,Beginner,Average,Not Interested,Beginner,Beginner,Software Developer
Professional,Intermediate,Poor,Beginner,Poor,Excellent,Excellent,Beginner,Average,Poor,Intermediate,Professional,Professional,Average,Intermediate,Professional,Intermediate,Software Developer
Average,Not Interested,Professional,Professional,Poor,Excellent,Excellent,Average,Beginner,Intermediate,Beginner,Professional,Average,Average,Beginner,Average,Beginner,Software Developer
Average,Average,Poor,Poor,Poor,Excellent,Excellent,Excellent,Beginner,Not Interested,Beginner,Professional,Beginner,Average,Average,Excellent,Beginner,Software Developer
Beginner,Average,Beginner,Beginner,Beginner,Excellent,Excellent,Excellent,Not Interested,Average,Professional,Professional,Average,Average,Not Interested,Not Interested,Poor,Software Developer
Poor,Not Interested,Beginner,Average,Average,Excellent,Excellent,Not Interested,Poor,Average,Intermediate,Professional,Not Interested,Average,Beginner,Not Interested,Average,Software Developer
Intermediate,Average,Intermediate,Poor,Not Interested,Excellent,Excellent,Poor,Beginner,Not Interested,Beginner,Professional,Intermediate,Average,Poor,Beginner,Average,Software Developer
Intermediate,Average,Poor,Poor,Beginner,Excellent,Excellent,Intermediate,Average,Beginner,Average,Professional,Excellent,Average,Intermediate,Average,Beginner,Software Developer
Beginner,Beginner,Not Interested,Poor,Beginner,Excellent,Excellent,Intermediate,Not Interested,Beginner,Intermediate,Professional,Intermediate,Average,Average,Average,Intermediate,Software Developer
Intermediate,Excellent,Intermediate,Poor,Poor,Excellent,Excellent,Average,Intermediate,Poor,Intermediate,Professional,Average,Average,Intermediate,Beginner,Not Interested,Software Developer
Average,Average,Excellent,Intermediate,Average,Excellent,Excellent,Not Interested,Poor,Not Interested,Poor,Professional,Average,Average,Beginner,Poor,Intermediate,Software Developer
Intermediate,Professional,Average,Intermediate,Average,Average,Professional,Not Interested,Average,Beginner,Not Interested,Poor,Beginner,Intermediate,Poor,Professional,Intermediate,Helpdesk Engineer
Poor,Beginner,Beginner,Average,Average,Excellent,Intermediate,Average,Average,Average,Beginner,Excellent,Intermediate,Intermediate,Average,Professional,Not Interested,Helpdesk Engineer
Excellent,Excellent,Intermediate,Average,Average,Intermediate,Average,Poor,Average,Average,Excellent,Beginner,Not Interested,Intermediate,Beginner,Professional,Average,Helpdesk Engineer
Excellent,Not Interested,Intermediate,Professional,Average,Intermediate,Not Interested,Beginner,Professional,Average,Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Professional,Poor,Helpdesk Engineer
Not Interested,Not Interested,Not Interested,Intermediate,Average,Poor,Poor,Poor,Professional,Not Interested,Intermediate,Excellent,Beginner,Intermediate,Intermediate,Professional,Poor,Helpdesk Engineer
Average,Excellent,Intermediate,Average,Average,Beginner,Intermediate,Beginner,Not Interested,Professional,Average,Average,Average,Intermediate,Poor,Professional,Beginner,Helpdesk Engineer
Poor,Intermediate,Average,Intermediate,Average,Average,Average,Professional,Average,Intermediate,Average,Average,Not Interested,Intermediate,Not Interested,Professional,Beginner,Helpdesk Engineer
Not Interested,Not Interested,Beginner,Not Interested,Average,Intermediate,Excellent,Poor,Beginner,Poor,Not Interested,Poor,Not Interested,Intermediate,Not Interested,Professional,Not Interested,Helpdesk Engineer
Professional,Not Interested,Poor,Intermediate,Average,Professional,Intermediate,Not Interested,Not Interested,Beginner,Average,Intermediate,Not Interested,Intermediate,Professional,Professional,Poor,Helpdesk Engineer
Not Interested,Not Interested,Intermediate,Poor,Average,Average,Beginner,Not Interested,Intermediate,Intermediate,Not Interested,Beginner,Excellent,Intermediate,Beginner,Professional,Not Interested,Helpdesk Engineer
Professional,Excellent,Average,Intermediate,Average,Not Interested,Poor,Not Interested,Poor,Not Interested,Poor,Poor,Beginner,Intermediate,Not Interested,Professional,Beginner,Helpdesk Engineer
Not Interested,Not Interested,Poor,Professional,Average,Intermediate,Poor,Average,Excellent,Intermediate,Average,Not Interested,Poor,Intermediate,Not Interested,Professional,Beginner,Helpdesk Engineer
Not Interested,Excellent,Average,Poor,Average,Intermediate,Intermediate,Average,Average,Intermediate,Intermediate,Intermediate,Average,Intermediate,Beginner,Professional,Beginner,Helpdesk Engineer
Beginner,Average,Average,Beginner,Average,Poor,Average,Poor,Beginner,Average,Intermediate,Average,Excellent,Intermediate,Poor,Professional,Average,Helpdesk Engineer
Intermediate,Not Interested,Poor,Average,Average,Intermediate,Not Interested,Average,Average,Not Interested,Not Interested,Not Interested,Intermediate,Intermediate,Poor,Professional,Average,Helpdesk Engineer
Not Interested,Beginner,Beginner,Beginner,Average,Professional,Excellent,Beginner,Poor,Excellent,Professional,Beginner,Beginner,Intermediate,Average,Professional,Average,Helpdesk Engineer
Beginner,Average,Poor,Average,Average,Intermediate,Beginner,Average,Not Interested,Beginner,Not Interested,Beginner,Poor,Intermediate,Beginner,Professional,Poor,Helpdesk Engineer
Poor,Not Interested,Intermediate,Not Interested,Average,Excellent,Intermediate,Poor,Intermediate,Beginner,Average,Poor,Poor,Intermediate,Average,Professional,Beginner,Helpdesk Engineer
Poor,Average,Excellent,Average,Average,Not Interested,Average,Not Interested,Beginner,Not Interested,Beginner,Intermediate,Not Interested,Intermediate,Professional,Professional,Professional,Helpdesk Engineer
Excellent,Intermediate,Beginner,Average,Average,Beginner,Not Interested,Average,Not Interested,Intermediate,Intermediate,Not Interested,Professional,Intermediate,Professional,Professional,Not Interested,Helpdesk Engineer
Average,Poor,Beginner,Excellent,Average,Beginner,Beginner,Not Interested,Beginner,Not Interested,Average,Beginner,Average,Intermediate,Average,Professional,Beginner,Helpdesk Engineer
Average,Beginner,Beginner,Average,Average,Excellent,Not Interested,Excellent,Poor,Professional,Beginner,Intermediate,Average,Intermediate,Professional,Professional,Average,Helpdesk Engineer
Beginner,Poor,Poor,Not Interested,Average,Not Interested,Average,Beginner,Average,Average,Excellent,Average,Beginner,Intermediate,Beginner,Professional,Not Interested,Helpdesk Engineer
Professional,Poor,Excellent,Professional,Average,Beginner,Beginner,Average,Not Interested,Excellent,Not Interested,Beginner,Poor,Intermediate,Average,Professional,Poor,Helpdesk Engineer
Average,Average,Intermediate,Intermediate,Average,Beginner,Professional,Average,Beginner,Excellent,Average,Intermediate,Not Interested,Intermediate,Excellent,Professional,Intermediate,Helpdesk Engineer
Average,Excellent,Professional,Intermediate,Average,Poor,Beginner,Average,Beginner,Average,Not Interested,Intermediate,Average,Intermediate,Intermediate,Professional,Beginner,Helpdesk Engineer
Average,Professional,Beginner,Average,Average,Not Interested,Beginner,Average,Intermediate,Average,Professional,Poor,Poor,Intermediate,Intermediate,Professional,Not Interested,Helpdesk Engineer
Average,Poor,Professional,Intermediate,Average,Beginner,Intermediate,Not Interested,Not Interested,Beginner,Beginner,Poor,Average,Intermediate,Not Interested,Professional,Beginner,Helpdesk Engineer
Beginner,Not Interested,Intermediate,Average,Average,Not Interested,Not Interested,Professional,Not Interested,Intermediate,Excellent,Beginner,Beginner,Intermediate,Beginner,Professional,Poor,Helpdesk Engineer
Professional,Average,Average,Average,Average,Beginner,Not Interested,Average,Intermediate,Poor,Not Interested,Poor,Intermediate,Intermediate,Excellent,Professional,Beginner,Helpdesk Engineer
Average,Intermediate,Average,Beginner,Average,Average,Not Interested,Beginner,Intermediate,Professional,Intermediate,Beginner,Not Interested,Intermediate,Excellent,Professional,Intermediate,Helpdesk Engineer
Beginner,Average,Beginner,Intermediate,Average,Intermediate,Beginner,Poor,Poor,Average,Beginner,Beginner,Beginner,Intermediate,Intermediate,Professional,Not Interested,Helpdesk Engineer
Intermediate,Average,Average,Intermediate,Average,Average,Professional,Beginner,Poor,Professional,Average,Professional,Poor,Intermediate,Beginner,Professional,Intermediate,Helpdesk Engineer
Poor,Beginner,Beginner,Beginner,Average,Intermediate,Professional,Intermediate,Average,Average,Beginner,Beginner,Professional,Intermediate,Average,Professional,Professional,Helpdesk Engineer
Excellent,Intermediate,Poor,Average,Average,Professional,Professional,Beginner,Professional,Poor,Poor,Poor,Excellent,Intermediate,Intermediate,Professional,Average,Helpdesk Engineer
Average,Beginner,Beginner,Beginner,Average,Excellent,Average,Average,Average,Average,Not Interested,Beginner,Average,Intermediate,Average,Professional,Poor,Helpdesk Engineer
Beginner,Poor,Not Interested,Beginner,Average,Average,Average,Not Interested,Intermediate,Intermediate,Beginner,Intermediate,Not Interested,Intermediate,Average,Professional,Intermediate,Helpdesk Engineer
Not Interested,Not Interested,Beginner,Average,Average,Beginner,Not Interested,Intermediate,Intermediate,Intermediate,Not Interested,Average,Professional,Intermediate,Average,Professional,Poor,Helpdesk Engineer
Average,Professional,Professional,Professional,Average,Poor,Intermediate,Average,Intermediate,Poor,Intermediate,Poor,Poor,Intermediate,Not Interested,Professional,Intermediate,Helpdesk Engineer
Beginner,Average,Not Interested,Not Interested,Average,Average,Beginner,Average,Professional,Professional,Beginner,Intermediate,Not Interested,Intermediate,Beginner,Professional,Average,Helpdesk Engineer
Excellent,Not Interested,Average,Beginner,Average,Professional,Professional,Poor,Professional,Beginner,Poor,Beginner,Excellent,Intermediate,Average,Professional,Not Interested,Helpdesk Engineer
